Longitude,Latitude,D_Middle School,Rooms,Halls,Area,Orientation,Renovation,Floor_Position,Total_Floors,Building_Type,D_Hospital,D_Subway Station,D_Primary_School,Price
120.7364758,31.3231063,1604.856557,2,1,90.08,2,1,2,18,3,1386.973632,664.8586353,2025.057812,336
120.7593945,31.32027691,1262.59356,3,1,105.09,2,1,3,27,3,752.4899058,650.4673366,548.0090211,390
120.5451262,31.28012082,1332.091263,3,1,129,2,1,2,26,3,978.5434118,1182.844143,687.9473577,478
120.7630349,31.33931236,3187.343862,3,2,116.25,2,1,3,33,3,2572.493553,0,2653.272381,430
120.7485487,31.32406905,1195.868592,2,2,75.75,2,1,3,24,3,1852.775427,478.6419485,1138.826155,279
120.7446934,31.3241053,1264.012873,3,1,135.4,2,1,2,18,1,1616.452147,691.8437814,1403.514241,498
120.7382426,31.31716322,1098.243596,5,2,212.16,2,1,2,10,3,2067.458596,783.2707715,1708.536926,780
120.5670686,31.30302436,859.5704276,2,2,85.72,2,1,1,6,3,2121.297643,502.5256786,1463.82743,315
120.5648346,31.29036318,802.5851866,4,2,122.19,2,1,3,17,1,786.614403,1285.049487,1602.105671,449
120.7608732,31.32488342,1717.308292,3,2,123.86,2,2,2,11,1,1063.256311,318.4636109,1065.268333,455
120.5759021,31.29687588,1162.438545,2,2,101.18,2,1,2,11,3,1501.618636,81.04027112,686.7676395,369
120.754282,31.31754591,695.1237548,3,2,84.68,2,2,3,27,3,1103.138783,483.5428505,236.6936476,308
120.754282,31.31754591,695.1237548,3,2,86.69,2,1,3,27,3,1103.138783,483.5428505,236.6936476,315
120.7382426,31.31716322,1098.243596,4,2,158.34,2,1,2,18,1,2067.458596,783.2707715,1708.536926,575
120.5648346,31.29036318,802.5851866,3,1,99.81,2,1,1,17,1,786.614403,1285.049487,1602.105671,360
120.6251596,31.23829848,939.9192681,4,3,160.98,2,1,1,6,3,3721.739386,1712.000219,648.9659182,580
120.5584291,31.29335587,1077.464893,3,2,93.33,2,1,1,6,1,913.8979707,743.0030657,1476.77768,335
120.7630349,31.33931236,3187.343862,4,2,139.37,2,1,2,18,3,2572.493553,0,2653.272381,499
120.9106445,31.40837901,2020.811328,3,2,134.36,2,3,2,20,3,2456.42021,2244.450112,444.9165259,479
120.4160735,31.35285927,2578.28246,4,2,142.93,2,1,2,8,0,303.5340679,11064.33137,1231.304394,509
120.6416646,31.30353669,606.0184629,2,1,47.53,2,1,2,5,1,643.0111516,829.7590742,466.5339747,168
120.7630349,31.33931236,3187.343862,3,2,90.96,2,1,2,13,3,2572.493553,0,2653.272381,320
120.7346201,31.32306096,1735.368843,2,2,90.88,2,1,1,27,3,1372.855498,710.5143559,2187.340378,318
120.7346201,31.32306096,1735.368843,2,1,89.15,2,2,2,16,1,1372.855498,710.5143559,2187.340378,310
120.7346201,31.32306096,1735.368843,3,2,115.1,2,1,1,27,3,1372.855498,710.5143559,2187.340378,400
120.6652248,31.32178123,1144.972611,3,2,126.89,2,1,1,6,1,1447.755416,599.2074006,1261.418094,440
120.7608732,31.32488342,1717.308292,3,1,123.86,2,1,2,11,1,1063.256311,318.4636109,1065.268333,428
120.5451262,31.28012082,1332.091263,3,2,107.3,2,1,1,26,3,978.5434118,1182.844143,687.9473577,367
120.6855463,31.27143324,310.427282,4,2,141.3,2,1,1,9,1,2597.382719,1640.988532,492.1439598,480
120.7529324,31.32487733,1341.394552,3,2,94.45,2,1,3,30,3,1550.670147,354.5029898,1015.633933,319
120.936447,31.3893485,2945.293908,3,1,139.46,2,3,2,25,3,2290.510773,1037.843625,1265.414205,468
120.756934,31.3248673,1494.25045,3,2,89.13,2,1,3,32,1,1271.82066,531.5119101,968.7680747,298
120.7529324,31.32487733,1341.394552,3,2,94.45,2,1,3,30,3,1550.670147,354.5029898,1015.633933,315
120.7630349,31.33931236,3187.343862,4,2,132.23,2,1,3,25,1,2572.493553,0,2653.272381,439
120.7630349,31.33931236,3187.343862,3,1,108.41,2,1,3,33,3,2572.493553,0,2653.272381,359
120.9106445,31.40837901,2020.811328,3,2,105.31,2,3,1,20,3,2456.42021,2244.450112,444.9165259,348
120.7630349,31.33931236,3187.343862,3,2,130.36,2,1,3,26,1,2572.493553,0,2653.272381,428
120.5670686,31.30302436,859.5704276,3,2,112.16,2,2,1,4,3,2121.297643,502.5256786,1463.82743,368
120.748097,31.31681285,395.8339155,3,2,128.82,2,1,2,25,1,1682.904551,699.9030674,772.1386144,418
120.6350212,31.79383456,2813.2691,3,2,87.88,2,1,2,20,1,3171.079138,10988.47445,7367.863804,285
120.7563875,31.3033845,1314.253921,3,1,111.41,2,1,3,18,1,1691.758726,392.3858755,1361.482321,360
120.5759021,31.29687588,1162.438545,2,1,106.91,2,1,3,18,3,1501.618636,81.04027112,686.7676395,345
120.7180328,31.33633217,3161.939319,2,2,89.87,4,1,1,20,3,1517.412064,1113.712173,2462.600529,290
120.7247882,31.37365208,1148.696997,3,1,96.19,2,1,2,18,1,1238.623057,1629.27503,1148.696997,310
120.7630349,31.33931236,3187.343862,3,2,98.15,2,1,1,9,1,2572.493553,0,2653.272381,315
120.7345455,31.33825755,3089.829027,4,2,105.95,2,1,3,20,1,322.9365979,1184.7127,3202.307458,340
120.6652248,31.32178123,1144.972611,3,2,127.71,2,1,2,5,1,1447.755416,599.2074006,1261.418094,407
120.641412,31.29752587,946.9023091,3,1,88.12,2,2,1,6,1,700.442616,209.204143,356.3262792,280
120.4223934,31.35232569,2556.345481,3,1,116.74,2,2,2,11,3,874.6422992,10488.20662,663.8731269,370
120.7410625,31.33166345,2171.216608,1,1,78.29,2,1,3,42,2,790.9994229,382.0582381,2242.764703,248
120.6020945,31.34944615,2770.269674,3,2,107.56,2,1,3,28,1,1073.331177,11.55133546,162.0978905,338
120.641412,31.29752587,946.9023091,3,2,95.63,2,2,1,6,3,700.442616,209.204143,356.3262792,299
120.756934,31.3248673,1494.25045,1,1,60.81,2,1,2,15,1,1271.82066,531.5119101,968.7680747,190
120.7630349,31.33931236,3187.343862,3,2,98.59,2,1,3,30,1,2572.493553,0,2653.272381,308
120.7382426,31.31716322,1098.243596,3,2,136.85,2,1,2,11,1,2067.458596,783.2707715,1708.536926,427
120.7630349,31.33931236,3187.343862,3,2,99.14,2,1,2,18,3,2572.493553,0,2653.272381,309
120.669783,31.32390186,1571.953854,3,2,134.95,2,2,3,21,2,1937.725863,652.8912439,1676.328648,420
120.756784,31.32769772,1765.952609,2,2,89.99,2,1,3,21,1,1529.876569,572.4342048,1282.159905,280
120.5924122,31.30356407,933.1675894,3,2,105.98,2,1,1,5,3,0,0,0,328
120.6258653,31.14373298,5760.394335,4,2,110,2,1,1,28,1,1559.342877,924.6054763,1062.400715,340
120.4160735,31.35285927,2578.28246,4,2,142.9,2,1,1,26,1,303.5340679,11064.33137,1231.304394,440
